service_id,date,exception_type
1,20230114,1
1,20230115,1
1,20230116,1
1,20230121,1
2,20230122,1
2,20230128,1
2,20230129,1
2,20230204,1
2,20230205,1
2,20230211,1
2,20230212,1
2,20230218,1
2,20230219,1
2,20230220,1
2,20230225,1
2,20230226,1
2,20230304,1
2,20230305,1
2,20230311,1
2,20230312,1
2,20230318,1
2,20230319,1
2,20230325,1
2,20230326,1
2,20230401,1
3,20230110,1
3,20230111,1
3,20230112,1
3,20230113,1
3,20230117,1
3,20230118,1
3,20230119,1
3,20230120,1
4,20230123,1
4,20230124,1
4,20230125,1
4,20230126,1
4,20230127,1
4,20230130,1
4,20230131,1
4,20230201,1
4,20230202,1
4,20230203,1
4,20230206,1
4,20230207,1
4,20230208,1
4,20230209,1
4,20230210,1
4,20230213,1
4,20230214,1
4,20230215,1
4,20230216,1
4,20230217,1
4,20230221,1
4,20230222,1
4,20230223,1
4,20230224,1
4,20230227,1
4,20230228,1
4,20230301,1
4,20230302,1
4,20230303,1
4,20230306,1
4,20230307,1
4,20230308,1
4,20230309,1
4,20230310,1
4,20230313,1
4,20230314,1
4,20230315,1
4,20230316,1
4,20230317,1
4,20230320,1
4,20230321,1
4,20230322,1
4,20230323,1
4,20230324,1
4,20230327,1
4,20230328,1
4,20230329,1
4,20230330,1
4,20230331,1
5,20230114,1
5,20230115,1
5,20230116,1
6,20230122,1
6,20230128,1
6,20230129,1
6,20230204,1
6,20230205,1
6,20230211,1
6,20230212,1
6,20230218,1
6,20230219,1
6,20230220,1
6,20230225,1
6,20230226,1
6,20230304,1
6,20230305,1
6,20230311,1
6,20230312,1
6,20230318,1
6,20230319,1
6,20230325,1
6,20230326,1
7,20230121,1
8,20230116,1
9,20230220,1
10,20230123,1
10,20230124,1
10,20230125,1
10,20230126,1
10,20230127,1
10,20230130,1
10,20230131,1
10,20230201,1
10,20230202,1
10,20230203,1
10,20230206,1
10,20230207,1
10,20230208,1
10,20230209,1
10,20230210,1
10,20230213,1
10,20230214,1
10,20230215,1
10,20230216,1
10,20230217,1
10,20230221,1
10,20230222,1
10,20230223,1
10,20230224,1
10,20230227,1
10,20230228,1
10,20230301,1
10,20230302,1
10,20230303,1
10,20230306,1
10,20230307,1
10,20230308,1
10,20230309,1
10,20230310,1
10,20230313,1
10,20230314,1
10,20230315,1
10,20230316,1
10,20230317,1
10,20230320,1
10,20230321,1
10,20230322,1
10,20230323,1
10,20230324,1
10,20230327,1
10,20230330,1
10,20230331,1
11,20230329,1
12,20230114,1
12,20230115,1
12,20230121,1
13,20230122,1
13,20230128,1
13,20230129,1
13,20230204,1
13,20230205,1
13,20230211,1
13,20230212,1
13,20230218,1
13,20230219,1
13,20230225,1
13,20230226,1
13,20230304,1
13,20230305,1
13,20230311,1
13,20230312,1
13,20230318,1
13,20230319,1
13,20230325,1
13,20230326,1
13,20230401,1
14,20230328,1
15,20230328,1
15,20230329,1
16,20230114,1
16,20230116,1
16,20230121,1
16,20230128,1
16,20230204,1
16,20230211,1
16,20230218,1
16,20230220,1
16,20230225,1
16,20230304,1
16,20230311,1
16,20230318,1
16,20230325,1
16,20230401,1
16,20230408,1
16,20230415,1
16,20230422,1
16,20230429,1
16,20230506,1
16,20230513,1
16,20230520,1
16,20230527,1
16,20230603,1
16,20230610,1
16,20230617,1
16,20230624,1
16,20230701,1
16,20230708,1
17,20230115,1
17,20230122,1
17,20230129,1
17,20230205,1
17,20230212,1
17,20230219,1
17,20230226,1
17,20230305,1
17,20230312,1
17,20230319,1
17,20230326,1
17,20230402,1
17,20230409,1
17,20230416,1
17,20230423,1
