trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3356,17:17:00,17:17:00,79,8,0,0,12.6574
3356,17:26:00,17:26:00,122,9,0,0,14.6127
3356,17:35:00,17:35:00,13,10,0,0,15.6930
3357,18:51:00,18:51:00,74,1,0,0,0.0000
3357,18:55:00,18:55:00,40,2,0,0,2.2687
3357,18:59:00,18:59:00,4,3,0,0,4.2848
3357,19:03:00,19:03:00,8,4,0,0,5.8792
3357,19:06:00,19:06:00,22,5,0,0,6.7080
3357,19:10:00,19:10:00,15,6,0,0,8.3648
3357,19:13:00,19:13:00,141,7,0,0,10.4828
3357,19:17:00,19:17:00,79,8,0,0,12.6574
3357,19:26:00,19:26:00,122,9,0,0,14.6127
3357,19:35:00,19:35:00,13,10,0,0,15.6930
3358,19:51:00,19:51:00,74,1,0,0,0.0000
3358,19:55:00,19:55:00,40,2,0,0,2.2687
3358,19:59:00,19:59:00,4,3,0,0,4.2848
3358,20:03:00,20:03:00,8,4,0,0,5.8792
3358,20:06:00,20:06:00,22,5,0,0,6.7080
3358,20:10:00,20:10:00,15,6,0,0,8.3648
3358,20:13:00,20:13:00,141,7,0,0,10.4828
3358,20:17:00,20:17:00,79,8,0,0,12.6574
3358,20:26:00,20:26:00,122,9,0,0,14.6127
3358,20:35:00,20:35:00,13,10,0,0,15.6930
3359,21:45:00,21:45:00,74,1,0,0,0.0000
3359,21:49:00,21:49:00,40,2,0,0,2.2687
3359,21:53:00,21:53:00,4,3,0,0,4.2848
3359,21:57:00,21:57:00,8,4,0,0,5.8792
3359,22:00:00,22:00:00,22,5,0,0,6.7080
3359,22:04:00,22:04:00,15,6,0,0,8.3648
3359,22:07:00,22:07:00,141,7,0,0,10.4828
3359,22:11:00,22:11:00,79,8,0,0,12.6574
3359,22:17:00,22:17:00,122,9,0,0,14.6127
3359,22:26:00,22:26:00,13,10,0,0,15.6930
3360,22:47:00,22:47:00,74,1,0,0,0.0000
3360,22:51:00,22:51:00,40,2,0,0,2.2687
3360,22:55:00,22:55:00,4,3,0,0,4.2848
3360,22:59:00,22:59:00,8,4,0,0,5.8792
3360,23:02:00,23:02:00,22,5,0,0,6.7080
